ANAXIMEN.	Anaximenes	 VI a. C. 	 	 philosophus 	 	 	 	 	 				
	 	 	 	 	Ep 	Epistulae 	 	 	 				
ANAXIMEN. $2	Anaximenes Lampsacenus	 IV a. C. 	 	 rhetor 	 	 	 	 	 				
	 	 	 	 	Rh 	Ars rhetorica 	 	 	 				
ANAXIO MYTILENAEUS	Anaxio Mytilenaeus	 	 	 tragicus	 	 	 	 	 				
ANAXIPP.	Anaxippus	 IV/III a. C. 	 	 comicus 	 	 	 	 	 				
AND.	Andocides	 V/IV a. C. 	 	 orator 	 	 	 	 	 				
	 	 	 	 	Fr 	Fragmenta 	 	 	 				
	 	 	 	 	Myst 	de mysteriis 	 	 	 				
ANDREAS	Andreas	 III a. C. 	 	 historicus	 	 	 	 	 				
ANDR. SAM.	Andreas Samosatenus	 V d. C. 	 	 scriptor ecclesiasticus 	 	 	 	 	 				
ANDRIS. HIST.	Andriscus	 IV/III a. C. 	 	 historicus 	 	 	 	 	 				
ANDRO	Andro	 d. III a. C. 	 	 historicus	 	 	 	 	 				
ANDRO ALEX.	Andro Alexandrinus	 II a. C. 	 	 historicus 	 	 	 	 	 				
ANDRO HAL.	Andro Halicarnassensis	 IV a. C. 	 	 historicus 	 	 	 	 	 				
ANDRO TEIUS	Andro Teius	 IV a. C. 	 	 historicus	 	 	 	 	 				
